Untitled
,Activity count,17
,Participant count,12
,Average responses,13.176470588235293

MODULE 3: Videos+Reading+Lab+HW (no tidyverse) took,Activity type,Multiple choice
,Total responses,9
,Unique participants,9
,they are more interpretable,0,0.0
,there are two of them and only one of the other,1,11.11

The <em>MOST important</em> concept in Data Science/Data Mining/ML/Statistical Learning is,Activity type,Multiple choice
,Total responses,23
,Unique participants,10
,Response options,Count,Percent
,Permutation Tests,0,0.0
,K-Folds Cross-Validation,0,0.0
,Final Hold Out Test Data,3,13.04
,Uncertainty Characterization,3,13.04
,Non-Parametric Methods,1,4.35
,Statistical Uncertainty Estimation,1,4.35
,Flexible Predictive Methodologies,1,4.35
,Predictive Methodologies,5,21.74
,Sampling Variation,3,13.04
,Regularization,2,8.7
,Feature Scaling,1,4.35
,Out-of-Sample Testing,0,0.0
,Overfitting,3,13.04

"In <em>EVERYTHING</em> I do in Data Science/Data Mining/ML/Statistical Learning, I am <em>PRIMARILY concerned</em> with",Activity type,Multiple choice
,Total responses,14
,Unique participants,10
,Response options,Count,Percent
,Permutation Tests,0,0.0
,K-Folds Cross-Validation,0,0.0
,Final Hold Out Test Data,0,0.0
,Uncertainty Characterization,1,7.14
,Non-Parametric Methods,0,0.0
,Statistical Uncertainty Estimation,3,21.43
,Flexible Predictive Methodologies,0,0.0
,Predictive Methodologies,1,7.14
,Sampling Variation,7,50.0
,Regularization,0,0.0
,Feature Scaling,0,0.0
,Out-of-Sample Testing,0,0.0
,Overfitting,2,14.29

<em>*My* MOST favorite</em> concept in Data Science/Data Mining/ML/Statistical Learning is,Activity type,Multiple choice
,Total responses,15
,Unique participants,8
,Response options,Count,Percent
,Permutation Tests,0,0.0
,K-Folds Cross-Validation,5,33.33
,Final Hold Out Test Data,1,6.67
,Uncertainty Characterization,1,6.67
,Non-Parametric Methods,2,13.33
,Statistical Uncertainty Estimation,0,0.0
,Flexible Predictive Methodologies,1,6.67
,Predictive Methodologies,2,13.33
,Sampling Variation,2,13.33
,Regularization,0,0.0
,Feature Scaling,1,6.67
,Out-of-Sample Testing,0,0.0
,Overfitting,0,0.0

<em>*My* MOST favorite</em> concept in Data Science/Data Mining/ML/Statistical Learning is,Activity type,Multiple choice
,Total responses,8
,Unique participants,8
,Response options,Count,Percent
,Permutation Tests,0,0.0
,K-Folds Cross-Validation,0,0.0
,Final Hold Out Test Data,0,0.0
,Uncertainty Characterization,0,0.0
,Non-Parametric Methods,0,0.0
,Statistical Uncertainty Estimation,0,0.0
,Flexible Predictive Methodologies,0,0.0
,Predictive Methodologies,0,0.0
,Sampling Variation,8,100.0
,Regularization,0,0.0
,Feature Scaling,0,0.0
,Out-of-Sample Testing,0,0.0
,Overfitting,0,0.0
